"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-2845.43093777274,6.21544674525816,2.85677742545557e-11,4.42280080208433
"2","GTR","relaxed_log_normal","yule",-2832.5875121827,4.21978825630335,0.0000108070028959737,5.46113367171693
"3","GTR","strict","birth_death",-2844.17755783275,5.49210880560659,0.000000000100048918182747,10.1770106602534
"4","GTR","strict","yule",-2853.98623946639,6.20076819454723,5.49991640783676e-15,12.6991705472638
"5","HKY","relaxed_log_normal","birth_death",-2838.28563740568,5.65167242844703,0.0000000362277136469812,6.86667750447142
"6","HKY","relaxed_log_normal","yule",-2826.44740858857,3.28612309357432,0.00501554783856772,10.767720380997
"7","HKY","strict","birth_death",-2830.15192814764,4.16406596913229,0.00012344285980468,13.4464622306152
"8","HKY","strict","yule",-2828.09657337766,3.21366635254636,0.000964040344942944,10.6344129982136
"9","JC69","relaxed_log_normal","birth_death",-2822.04387526118,3.62834747779824,0.409966718835154,5.2147825831012
"10","JC69","relaxed_log_normal","yule",-2827.15088182189,3.58395929064451,0.0024820117531444,10.2715285159591
"11","JC69","strict","birth_death",-2821.72269235267,3.69798318875242,0.565244788520171,4.51780438104177
"12","TN93","relaxed_log_normal","birth_death",-2831.4792820904,4.05207000947362,0.0000327343319084966,10.6495365318606
"13","TN93","relaxed_log_normal","yule",-2832.67521967176,4.31544776468261,0.00000989952574288905,7.05725520159828
"14","TN93","strict","birth_death",-2825.27811185742,3.79813537834993,0.0161486973437734,8.07381184488293
"15","TN93","strict","yule",-2834.72453483374,4.21484336844485,0.00000127528755849325,6.49744629914269
