Sample	posterior	ESS(posterior)	likelihood	prior
0	-4536.458365909735	N	-4530.534896262614	-5.923469647121238
1000	-3764.0453995546586	2.0	-3758.516075946939	-5.529323607719703
2000	-3754.6512858141764	3.0	-3750.601431516018	-4.049854298158742
3000	-3754.078992110683	4.0	-3750.0267153488694	-4.052276761813494
4000	-3757.493576997297	5.0	-3753.6076038384936	-3.8859731588034743
5000	-3756.5337767740525	6.0	-3752.594109432915	-3.93966734113734
6000	-3751.5152799180905	7.0	-3743.3424808765376	-8.172799041553116
7000	-3748.682173978498	8.0	-3743.826373033214	-4.855800945283932
8000	-3747.94367170965	9.0	-3744.1160453696702	-3.8276263399797923
9000	-3750.7835523269464	4.3	-3745.077107596625	-5.706444730321492
10000	-3746.1256311576417	3.3	-3741.122289463275	-5.003341694366413
11000	-3746.73074108901	3.0	-3742.0662359633375	-4.664505125672127
12000	-3750.3444472321185	3.1	-3745.263026718785	-5.0814205133332715
13000	-3746.2907763107846	3.1	-3743.9604736848128	-2.3303026259720725
14000	-3750.394275921204	3.3	-3746.0142553944092	-4.380020526794789
15000	-3751.918899867472	3.6	-3748.3897218188113	-3.5291780486611124
16000	-3753.88186205463	4.0	-3747.9666262585374	-5.915235796092592
17000	-3748.3265029536174	4.3	-3743.8550474120575	-4.471455541559763
18000	-3746.2279361709166	4.9	-3742.057726294195	-4.170209876721235
19000	-3746.825692949279	6.5	-3742.019811633135	-4.805881316144373
20000	-3746.0982478540955	6.5	-3741.258503852877	-4.839744001218812
21000	-3747.3753360939377	6.6	-3742.697519400514	-4.677816693423713
22000	-3746.235683837333	6.5	-3742.0116979050713	-4.223985932261827
23000	-3748.7233171053535	6.6	-3743.954344625794	-4.768972479559624
24000	-3750.0769556660434	7.0	-3745.036170640318	-5.040785025725607
25000	-3752.8782966918734	7.8	-3747.932372088026	-4.945924603847084
26000	-3747.1525478242575	8.2	-3743.242284523546	-3.910263300711417
27000	-3746.320435029101	8.9	-3742.1886528876275	-4.131782141473788
28000	-3749.016278188931	9.3	-3744.7885865535613	-4.227691635369993
29000	-3746.8566747910722	10.7	-3742.761965921979	-4.0947088690930595
30000	-3748.8432735474667	11.1	-3744.0452165131655	-4.798057034301104
31000	-3747.0118673033094	11.4	-3741.734074758811	-5.277792544498442
32000	-3747.4136439664835	11.7	-3741.7498004197328	-5.663843546750832
33000	-3748.227330115581	12.0	-3742.9761596122453	-5.251170503335753
34000	-3751.6692498200196	12.8	-3747.095929570867	-4.573320249152397
35000	-3749.4805631909853	13.2	-3743.450660286824	-6.029902904161198
36000	-3746.829963774232	14.1	-3742.734090682272	-4.09587309196011
37000	-3748.65622664405	14.5	-3744.21014073568	-4.446085908369927
38000	-3747.2440462545233	14.8	-3743.199743353767	-4.04430290075628
39000	-3746.9467505308676	18.3	-3742.8010674888756	-4.145683041992139
40000	-3749.702673409886	19.0	-3745.109295261849	-4.593378148036849
41000	-3747.0686326832774	19.6	-3743.6109358847357	-3.4576967985415905
42000	-3751.5578390086275	20.4	-3748.4291879539855	-3.1286510546421087
43000	-3746.806269373328	21.3	-3742.8137412638807	-3.9925281094473366
44000	-3750.621578752023	21.8	-3745.373025544038	-5.248553207985335
45000	-3750.318388836105	22.4	-3744.8951842348993	-5.423204601205751
46000	-3752.097509866173	22.4	-3747.286898762772	-4.810611103400957
47000	-3745.4980269782013	24.8	-3742.8585788442956	-2.6394481339055065
48000	-3753.077922886528	25.9	-3748.595303542414	-4.482619344114056
