#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-3762.9392898041806	-3753.8585846351243	-9.080705169056339	-3753.8585846351243	2.4493758557856564	-9.080705169056339	1.0	0.5
1000	-3194.707074266649	-3189.191315503969	-5.515758762680583	-3189.191315503969	0.9196100558036132	-5.515758762680583	1.542270899924489	0.8236335671048189
2000	-3196.791871213854	-3191.7132081410364	-5.078663072817662	-3191.7132081410364	0.9638755323029856	-5.078663072817662	3.2271486979074377	0.23406937622729926
3000	-3192.1956655853614	-3188.605143412733	-3.590522172628292	-3188.605143412733	0.9620607131154495	-3.590522172628292	2.017192704471609	0.3581684319493703
4000	-3195.057107366185	-3190.8782976332627	-4.178809732922246	-3190.8782976332627	1.0258271707897038	-4.178809732922246	2.3620958580185425	0.20154939565676142
5000	-3192.8250506172926	-3188.332486039757	-4.492564577535594	-3188.332486039757	1.007357668178518	-4.492564577535594	0.4150749538935694	0.3774756240380016
6000	-3193.680759943627	-3190.237844419373	-3.4429155242543725	-3190.237844419373	1.1649792435139896	-3.4429155242543725	0.8172603406976248	0.6591296405375905
7000	-3197.004039686847	-3193.2294781732226	-3.7745615136243877	-3193.2294781732226	1.2548033271403298	-3.7745615136243877	0.5206227459573963	0.7558088251142365
8000	-3194.1187776189936	-3190.936625814612	-3.182151804381748	-3190.936625814612	0.9666667356131019	-3.182151804381748	1.6083809253129588	0.22097173647682464
9000	-3195.4786283366357	-3191.895603627201	-3.583024709434646	-3191.895603627201	1.1426333624944536	-3.583024709434646	0.9995691877282167	0.06898712485706386
10000	-3197.2037003036794	-3192.739357647105	-4.464342656574667	-3192.739357647105	1.328679727100121	-4.464342656574667	0.7322058681656096	0.08848696668023187
11000	-3193.2108929392134	-3190.627894951077	-2.5829979881363	-3190.627894951077	0.9285633588776013	-2.5829979881363	1.7843345285429153	0.17636595713147268
12000	-3192.3798949049033	-3189.3199345849494	-3.0599603199539582	-3189.3199345849494	1.0104205517988416	-3.0599603199539582	1.5800962850748268	0.2712045584479725
13000	-3195.429349751298	-3192.1563405863026	-3.27300916499541	-3192.1563405863026	1.0014751978140992	-3.27300916499541	0.8523517897876995	0.5069256440369418
14000	-3194.141094410953	-3191.027528017941	-3.1135663930116966	-3191.027528017941	1.0241271262866694	-3.1135663930116966	0.8436037592479332	0.3192305694214975
