#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:alignment_twin" name="distribution">
#            <parameter id="kappa.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:alignment_twin" kappa="@kappa.s:alignment_twin" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.4" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-4536.458365909735	-4530.534896262614	-5.923469647121238	-4530.534896262614	1.6286681481296137	2.0	0.25	0.25	0.25	0.25	0.1	1.0299723740055136	0.0057277247897050965	0.07341513056298432	-4.877473758267753	1.0
1000	-3764.0453995546586	-3758.516075946939	-5.529323607719703	-3758.516075946939	1.353303926653726	2.0	0.25	0.25	0.25	0.25	0.08692406868666948	1.0014226894149056	0.01047992533323893	0.10001843861891829	-4.582085124951202	1.3600878832866654
2000	-3754.6512858141764	-3750.601431516018	-4.049854298158742	-3750.601431516018	0.9907712690004449	1.7471619490361707	0.2420603383307635	0.2579396616692365	0.25	0.25	0.042007194078238	0.9918373984424179	0.001118555928010045	0.03353612179883915	-3.6577968811694586	1.323152518321179
3000	-3754.078992110683	-3750.0267153488694	-4.052276761813494	-3750.0267153488694	1.0809494805316466	1.7471619490361707	0.2483441099056872	0.2579396616692365	0.24371622842507631	0.25	0.01408840213022447	0.9952930693718094	1.4158370470589577E-4	0.01193776217984451	-4.2363062497098305	1.839957264713607
4000	-3757.493576997297	-3753.6076038384936	-3.8859731588034743	-3753.6076038384936	1.0445466537862458	1.7471619490361707	0.2483441099056872	0.254008558777032	0.2476473313172808	0.25	0.024701391793548064	0.9846239418077284	3.8914661148300566E-4	0.019860413618229475	-3.783694542810205	1.6559012331728051
5000	-3756.5337767740525	-3752.594109432915	-3.93966734113734	-3752.594109432915	1.0320698148297147	1.7471619490361707	0.2483441099056872	0.254008558777032	0.2476473313172808	0.25	0.007894334642609836	0.994963171417407	1.1465394922664321E-4	0.010718090767811599	-4.406582605272159	0.7511818384264415
6000	-3751.5152799180905	-3743.3424808765376	-8.172799041553116	-3743.3424808765376	1.0789101273532764	1.077033886608159	0.24847063445960996	0.254008558777032	0.24752080676335805	0.25	0.18186781000235153	0.91043267085856	0.013699423875425514	0.12938466725474915	-7.01186330838371	2.9643699289466716
7000	-3748.682173978498	-3743.826373033214	-4.855800945283932	-3743.826373033214	0.972866497558285	1.077033886608159	0.24847063445960996	0.254008558777032	0.24752080676335805	0.25	0.1735836085576612	1.0031999379020775	0.00805257188715878	0.086382634906456	-3.738021464821375	1.7075136590516176
8000	-3747.94367170965	-3744.1160453696702	-3.8276263399797923	-3744.1160453696702	0.9318891077124714	1.077033886608159	0.24847063445960996	0.254008558777032	0.24752080676335805	0.25	0.019042753421343008	1.0065289023903057	8.162715114614266E-5	0.008987288672734992	-4.131981456771074	2.51572779822388
9000	-3750.7835523269464	-3745.077107596625	-5.706444730321492	-3745.077107596625	1.4288258898578958	1.077033886608159	0.2575579757936711	0.254008558777032	0.2387049626395895	0.24972850278970735	0.03916063585920556	0.9890318943678441	0.0019399966232528454	0.0445478757401567	-5.626179754206478	0.5534832409170305
10000	-3746.1256311576417	-3741.122289463275	-5.003341694366413	-3741.122289463275	0.9112964662210804	1.077033886608159	0.2575579757936711	0.25115650555798735	0.24155701585863415	0.24972850278970735	0.19085924945362395	1.075879888670513	0.040774977945046094	0.19116014480233667	-3.796644872298285	0.9400373445240464
11000	-3746.73074108901	-3742.0662359633375	-4.664505125672127	-3742.0662359633375	0.9935186609001612	1.1066292164516762	0.2575579757936711	0.2529504293565438	0.24155701585863415	0.2479345789911509	0.07826863060604805	0.9712720951960353	0.00484509302595426	0.0702999846882358	-4.1517395432226865	0.7859236948210436
12000	-3750.3444472321185	-3745.263026718785	-5.0814205133332715	-3745.263026718785	1.0193191412012708	1.3724582633559401	0.264141351833229	0.2485135802380717	0.23941048893754843	0.2479345789911509	0.14660803980495693	0.9659417006710788	0.02229655191962419	0.15920010961092856	-3.9944611493318716	1.607746738624403
13000	-3746.2907763107846	-3743.9604736848128	-2.3303026259720725	-3743.9604736848128	0.9829355112341889	1.3724582633559401	0.264141351833229	0.2485135802380717	0.23941048893754843	0.2479345789911509	0.002061879790009408	0.999771441936036	3.829789640903756E-6	0.0019578976582676944	-3.585047580607682	1.6685506414445688
