Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-4009.9381682760004	-4016.0825498809654	N	-4009.9381682760004	-6.144381604965233
1	-3321.495918394563	-3334.5921128752957	2.0	-3321.495918394563	-13.096194480732551
2	-3283.4796938848667	-3294.831050572445	3.0	-3283.4796938848667	-11.351356687577894
3	-3255.9754030896543	-3267.2594648899585	4.0	-3255.9754030896543	-11.284061800304077
4	-3229.987578867424	-3240.113706099568	5.0	-3229.987578867424	-10.126127232143812
5	-3140.5262513498105	-3148.339685200286	5.4	-3140.5262513498105	-7.813433850475541
6	-3117.6559975496125	-3124.3754784298	5.1	-3117.6559975496125	-6.719480880187201
7	-3115.340724618864	-3126.024337665038	5.1	-3115.340724618864	-10.683613046173942
8	-3092.777375608807	-3102.110233226511	5.2	-3092.777375608807	-9.332857617704073
9	-3090.3928345648283	-3095.840041661855	2.5	-3090.3928345648283	-5.447207097027076
10	-3082.744372464558	-3090.2245325294043	2.7	-3082.744372464558	-7.480160064846153
11	-3074.090845998465	-3082.4267842097547	2.8	-3074.090845998465	-8.33593821128981
12	-3071.061828378583	-3077.2780899952713	2.8	-3071.061828378583	-6.216261616688507
13	-3062.615554802074	-3069.4175346397055	2.8	-3062.615554802074	-6.801979837631713
14	-3053.5475743879856	-3060.533078384617	2.9	-3053.5475743879856	-6.9855039966315005
15	-3051.824157045967	-3057.461280898032	3.0	-3051.824157045967	-5.637123852064947
16	-3049.7563703705587	-3055.8538244627744	3.1	-3049.7563703705587	-6.097454092215857
17	-3049.4705167597463	-3055.4449895731705	3.2	-3049.4705167597463	-5.9744728134241365
18	-3049.237934138143	-3058.5096617890113	3.3	-3049.237934138143	-9.271727650868115
19	-3043.756085462576	-3049.3019965739923	3.5	-3043.756085462576	-5.545911111416314
20	-3039.4957777710965	-3046.160861457253	3.5	-3039.4957777710965	-6.665083686156503
21	-3037.943078156348	-3045.1488211274514	3.6	-3037.943078156348	-7.205742971103621
22	-3036.828399561781	-3043.3463490194745	3.7	-3036.828399561781	-6.517949457693315
23	-3031.3095395832024	-3038.0844275676022	3.7	-3031.3095395832024	-6.774887984399943
24	-3023.952632008071	-3030.598255018852	3.8	-3023.952632008071	-6.64562301078082
25	-3023.4870631423846	-3029.2847025621313	3.8	-3023.4870631423846	-5.797639419746474
26	-3023.114213695496	-3029.1975956815636	3.8	-3023.114213695496	-6.083381986067632
27	-3017.8394248829954	-3024.2500313514015	3.9	-3017.8394248829954	-6.4106064684059145
28	-3017.351900516306	-3024.0703590415706	3.9	-3017.351900516306	-6.718458525264291
29	-3013.769366549561	-3020.1059305626877	3.9	-3013.769366549561	-6.336564013126773
30	-3012.8847786316287	-3018.6456649028783	3.9	-3012.8847786316287	-5.760886271249536
31	-3012.857627194688	-3018.496541976209	3.9	-3012.857627194688	-5.638914781520773
32	-3012.5496859270947	-3018.8390769148955	3.9	-3012.5496859270947	-6.289390987800794
33	-3012.4127246488188	-3018.285497350697	3.9	-3012.4127246488188	-5.872772701877946
34	-3010.8016759654834	-3016.7276891843717	3.9	-3010.8016759654834	-5.9260132188882295
35	-3007.8099764740205	-3013.7528652338588	3.9	-3007.8099764740205	-5.942888759838225
36	-3007.745104417067	-3013.846647826376	3.9	-3007.745104417067	-6.101543409308763
37	-3007.167078913222	-3013.2366081398714	3.9	-3007.167078913222	-6.0695292266492
38	-3007.156519373951	-3013.288640813878	3.9	-3007.156519373951	-6.132121439926798
39	-3007.090280923484	-3013.1808891895244	3.6	-3007.090280923484	-6.090608266040534
40	-3006.898590751936	-3012.735405541378	3.6	-3006.898590751936	-5.83681478944205
41	-3006.8808385070356	-3012.992307923048	3.6	-3006.8808385070356	-6.111469416012535
42	-3006.867948481434	-3013.9988299037946	3.6	-3006.867948481434	-7.130881422360732
43	-3006.856030740767	-3012.7817446741515	3.6	-3006.856030740767	-5.92571393338435
44	-3006.854867125424	-3012.8078756219793	3.6	-3006.854867125424	-5.95300849655541
45	-3006.843227600219	-3013.501442799219	3.6	-3006.843227600219	-6.658215199000221
46	-3006.8050706902877	-3013.0504188111245	3.6	-3006.8050706902877	-6.245348120836898
47	-3006.804883753487	-3012.6419341460646	3.7	-3006.804883753487	-5.837050392577461
48	-3006.791900961841	-3012.957077954591	3.7	-3006.791900961841	-6.165176992750325
49	-3006.7765361119555	-3013.0524882133595	3.1	-3006.7765361119555	-6.2759521014041475
50	-3006.7720170772504	-3014.4477181195502	3.1	-3006.7720170772504	-7.675701042299849
51	-3006.7715507060584	-3012.640835197893	3.1	-3006.7715507060584	-5.86928449183442
52	-3006.7671615045365	-3012.5993549844065	3.1	-3006.7671615045365	-5.832193479870201
53	-3006.7668502708193	-3012.5764159543896	3.2	-3006.7668502708193	-5.809565683570135
54	-3006.7667366098476	-3012.575293750099	3.2	-3006.7667366098476	-5.808557140251116
55	-3006.766588666023	-3012.8378490414752	3.2	-3006.766588666023	-6.071260375452528
56	-3006.766481000887	-3012.9209029387193	3.3	-3006.766481000887	-6.15442193783252
57	-3006.76080276646	-3012.8797574322716	3.3	-3006.76080276646	-6.118954665811682
58	-3006.758087652009	-3014.3108373119994	3.4	-3006.758087652009	-7.5527496599902175
59	-3006.7565973153623	-3012.5757876216353	3.3	-3006.7565973153623	-5.819190306272935
60	-3006.7547943186687	-3012.688022619869	3.4	-3006.7547943186687	-5.933228301200256
61	-3006.748356195808	-3013.1984406284237	3.4	-3006.748356195808	-6.450084432615791
