#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-6339.697063094926	-6336.538263690295	-3.158799404631423	-6336.538263690295	1.1590798408679386	-3.158799404631423	1.0
1000	-4427.793608094576	-4422.989120751988	-4.804487342588263	-4422.989120751988	1.109864072165883	-4.804487342588263	1.0597846515662777
2000	-4431.325950710261	-4425.864568576583	-5.4613821336779695	-4425.864568576583	1.1651000804022567	-5.4613821336779695	1.7616067871709546
3000	-4431.20338151452	-4426.390089299362	-4.813292215157131	-4426.390089299362	1.1286398836431797	-4.813292215157131	1.33483048695221
4000	-4427.4543526135585	-4423.217105282081	-4.2372473314774695	-4423.217105282081	1.0354583146698757	-4.2372473314774695	1.3032823034765642
5000	-4430.595487008999	-4425.926167996426	-4.669319012573851	-4425.926167996426	1.1326630434135174	-4.669319012573851	1.6764099809038844
6000	-4426.155242487775	-4421.3843492523665	-4.77089323540762	-4421.3843492523665	1.1621505323301613	-4.77089323540762	1.110075048497655
7000	-4429.639922622362	-4425.034174629779	-4.60574799258274	-4425.034174629779	1.1284893999649894	-4.60574799258274	1.6058452775394383
8000	-4428.2477520933935	-4422.123329330043	-6.124422763351042	-4422.123329330043	1.147268275250479	-6.124422763351042	0.5708531859932909
9000	-4428.075988689676	-4422.775628464485	-5.300360225190983	-4422.775628464485	1.0957816837072796	-5.300360225190983	0.7454481071352488
10000	-4427.9650768428355	-4423.086959546056	-4.878117296778816	-4423.086959546056	1.0971764350092232	-4.878117296778816	1.6374633099475406
11000	-4427.807604246267	-4423.006864774381	-4.8007394718857235	-4423.006864774381	1.0978098779135517	-4.8007394718857235	1.20904441144216
12000	-4429.897268486763	-4425.125872968694	-4.771395518068553	-4425.125872968694	1.045522579666006	-4.771395518068553	1.7453749184971479
13000	-4428.7952110601145	-4424.444082693212	-4.351128366901884	-4424.444082693212	1.0353377011931157	-4.351128366901884	1.1897531106461443
14000	-4430.290681052811	-4425.64305389747	-4.647627155340895	-4425.64305389747	1.0814589462393875	-4.647627155340895	1.6673970298255645
15000	-4427.8711776888285	-4423.257275413041	-4.613902275787735	-4423.257275413041	1.1082116094017538	-4.613902275787735	1.2478809069350336
16000	-4428.694756505603	-4424.190278852376	-4.504477653227264	-4424.190278852376	1.0409907968006467	-4.504477653227264	1.2860209938823373
17000	-4428.834163397246	-4423.919265514536	-4.914897882710056	-4423.919265514536	1.1783966752156068	-4.914897882710056	1.0443305382873598
18000	-4428.131807965926	-4423.507629540111	-4.6241784258148515	-4423.507629540111	1.1060997874692304	-4.6241784258148515	1.7169797300538934
19000	-4427.694850181093	-4421.970358910008	-5.724491271084797	-4421.970358910008	1.0979344149737669	-5.724491271084797	2.094579416163839
20000	-4433.62618404269	-4426.965477273913	-6.660706768776208	-4426.965477273913	1.0410654454058401	-6.660706768776208	2.7021952282506656
21000	-4429.022272055128	-4424.299400060519	-4.722871994609309	-4424.299400060519	1.1175472425697373	-4.722871994609309	1.0694144295377281
22000	-4431.8800638881385	-4427.355093412275	-4.52497047586383	-4427.355093412275	1.0118951745635265	-4.52497047586383	1.2557314676045939
23000	-4426.920662386748	-4422.065543037872	-4.8551193488758795	-4422.065543037872	1.1487919186293198	-4.8551193488758795	1.3576846158321334
24000	-4431.348775360235	-4426.899999402266	-4.448775957968594	-4426.899999402266	1.000742745398096	-4.448775957968594	1.1233836031090245
25000	-4428.471430438925	-4423.632784533014	-4.838645905910844	-4423.632784533014	1.163716817252479	-4.838645905910844	1.6583921298469833
26000	-4426.763905203158	-4421.87463547621	-4.889269726948315	-4421.87463547621	1.1323705613459236	-4.889269726948315	0.9946311968697191
27000	-4431.082192317587	-4426.578383563035	-4.503808754552831	-4426.578383563035	1.1117319874101688	-4.503808754552831	1.3553673588245034
28000	-4430.839553873972	-4426.005503431533	-4.834050442439531	-4426.005503431533	1.215690777797439	-4.834050442439531	1.2936012667012906
29000	-4428.967247014522	-4424.22185634215	-4.745390672371927	-4424.22185634215	1.152784271464612	-4.745390672371927	1.5727328380963845
30000	-4428.63750022125	-4423.812255189395	-4.825245031855204	-4423.812255189395	1.1181752924139732	-4.825245031855204	0.899409286757222
31000	-4427.550131903872	-4422.648528698793	-4.9016032050792235	-4422.648528698793	1.1366878977962094	-4.9016032050792235	0.9802041455701379
32000	-4425.921765434282	-4421.321447100606	-4.600318333675846	-4421.321447100606	1.0608545958680637	-4.600318333675846	1.092657724413014
33000	-4428.595899941583	-4421.6048920760795	-6.991007865503956	-4421.6048920760795	1.1133694587991616	-6.991007865503956	2.817614336321957
