#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment" name="distribution" x="@birthRate.t:true_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:true_alignment" name="distribution">
#            <parameter id="ucldStdev.c:true_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment" id="treeLikelihood.true_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment">
#            <siteModel id="SiteModel.s:true_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:true_alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:true_alignment">
#                <LogNormal S="@ucldStdev.c:true_alignment" id="LogNormalDistributionModel.c:true_alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:true_alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:true_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-88729.94728586971	-88721.3555082675	-8.591777602212062	-88721.3555082675	3.6143155564587808	0.1	0.9789087664533511	0.004817612021413343	0.06821694221231839	-9.411141747332865	1.0
100	-82370.14970089529	-82361.40391428648	-8.745786608801204	-82361.40391428648	2.505429651922846	0.21014828087065593	0.9043518954703588	0.012373355945436064	0.12057761905735956	-8.934816038882843	0.8432647155624773
200	-82025.59023048538	-82018.96965732123	-6.620573164159868	-82018.96965732123	1.5232087930732034	0.21014828087065593	0.8561173401589987	0.019583339711962015	0.15989672967914684	-6.8096025942415075	0.7052575035992611
300	-81970.53327854186	-81962.85026589935	-7.683012642506743	-81962.85026589935	1.5232087930732034	0.41315199874510844	0.7831834876475814	0.061106541061964746	0.3120584946028123	-7.029248171197809	0.8604797305106572
400	-81917.86820103682	-81909.94103416755	-7.92716686927448	-81909.94103416755	1.5232087930732034	0.41022325966511247	0.7748332121054826	0.025631504806374165	0.19630940944897673	-7.284346553656506	1.0503478474416625
500	-81890.68477438368	-81883.00115167297	-7.6836227107056585	-81883.00115167297	1.5232087930732034	0.41022325966511247	0.7584425993193734	0.0417933875984037	0.24318841810515215	-7.040802395087685	0.9236921290923126
600	-81881.07688311681	-81873.57924007234	-7.497643044470796	-81873.57924007234	1.5232087930732034	0.41022325966511247	0.7401935641534219	0.06459426268610287	0.301492143447364	-6.854822728852822	0.7144564992769439
700	-81876.31995889482	-81868.78180574451	-7.538153150302064	-81868.78180574451	1.5232087930732034	0.41022325966511247	0.7425526092425866	0.0833450565865406	0.3420203039745469	-6.89533283468409	0.6240646512308581
800	-81881.08916447454	-81873.54299740729	-7.5461670672536005	-81873.54299740729	1.5232087930732034	0.41022325966511247	0.7496437545011619	0.05410901888933137	0.2775962988175173	-6.903346751635627	0.7382150261227381
900	-81880.66817092999	-81873.06955635473	-7.598614575251639	-81873.06955635473	1.487639411544831	0.41022325966511247	0.7440015974483946	0.053019240635402295	0.2838772023936141	-6.955794259633665	0.8073001486580956
1000	-81879.1439596133	-81871.5056411661	-7.638318447190098	-81871.5056411661	1.487639411544831	0.41022325966511247	0.7576198275456987	0.10958948577690794	0.39172245870326466	-6.995498131572124	0.8420459395743801
1100	-81875.71978184691	-81867.54620660911	-8.173575237794235	-81867.54620660911	1.487639411544831	0.41022325966511247	0.7459769267679942	0.08915025797567229	0.36161304713293724	-7.5307549221762615	1.1514519389442168
1200	-81875.7009421256	-81867.69720910995	-8.003733015654229	-81867.69720910995	1.487639411544831	0.41022325966511247	0.7454778857280631	0.08915025797567229	0.36161304713293724	-7.3609127000362555	1.090144898637122
1300	-81875.09720760971	-81866.7609469619	-8.336260647799321	-81866.7609469619	1.4989451545249917	0.41022325966511247	0.7474316442790987	0.10958948577690794	0.39172245870326466	-7.693440332181347	1.191934958711794
1400	-81877.95672249161	-81868.53951580334	-9.417206688270992	-81868.53951580334	1.4989451545249917	0.41022325966511247	0.7439375197041999	0.08915025797567229	0.36161304713293724	-8.77438637265302	1.4982730018748303
