#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment_evidence" name="distribution" x="@birthRate.t:true_alignment_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:true_alignment_evidence" name="distribution">
#            <parameter id="kappa1.s:true_alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:true_alignment_evidence" name="distribution">
#            <parameter id="kappa2.s:true_alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment_evidence" id="treeLikelihood.true_alignment_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment_evidence">
#            <siteModel id="SiteModel.s:true_alignment_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:true_alignment_evidence" kappa1="@kappa1.s:true_alignment_evidence" kappa2="@kappa2.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true_alignment_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-164664.41738491034	-164660.530371082	-164664.41738491034	3.887013828356194	-164664.41738491034	0.07675983053033192	6.443939718552268	5.150065501749657	0.22777067720354752	0.2683144811927814	0.2660182390840143	0.23789660251965686	10.04239759146011	28.103933064483563
1	-150701.36154879016	-150695.23807280016	-150701.36154879016	6.123475989996372	-150701.36154879016	0.05283486939234006	1.1223013553295622	6.650732475412109	0.22410536695963842	0.2756420286882988	0.2598729833759044	0.24037962097615836	10.924336204722056	22.033533262368486
2	-134845.49735330674	-134842.62510655946	-134845.49735330674	2.872246747296513	-134845.49735330674	0.13865729814605035	1.1744187420168015	4.837153866395767	0.2211686286567008	0.27079766725613286	0.26280972167884203	0.24522398240832427	7.2251759190360785	16.729056714964827
3	-116111.01737078904	-116112.6421076369	-116111.01737078904	-1.624736847872315	-116111.01737078904	0.30698366382971964	2.565638746516935	3.0604459322741935	0.21117736838615134	0.2724089937640026	0.27036009019312157	0.24605354765672444	2.7257623397698723	7.527494584089989
4	-97486.00958164247	-97493.44207115335	-97486.00958164247	-7.432489510871735	-97486.00958164247	0.5958829731696015	2.706080204508248	4.596450236474693	0.21770722455983163	0.27462860039261644	0.29020035129168104	0.21746382375587084	-2.5392378218432547	0.9315313017231291
5	-96283.03720394113	-96288.77063101901	-96283.03720394113	-5.733427077879316	-96283.03720394113	0.37973221181294037	4.178850171458179	2.760471199641456	0.2378221709819975	0.25224608611179994	0.30137118728979595	0.20856055561640652	-0.9445715407618053	1.3792843890030726
6	-84791.1399995455	-84805.17646923458	-84791.1399995455	-14.036469689073256	-84791.1399995455	3.409772466693975	3.495470207617695	3.4778063634401075	0.24382449600618605	0.2362819816555223	0.31330534559765166	0.2065881767406399	-9.214771900793789	0.4162715681910051
7	-84539.27617658088	-84549.00570833725	-84539.27617658088	-9.729531756374646	-84539.27617658088	0.9838928207135006	2.4139874088240116	5.271298399607837	0.2421220009476477	0.2304561372702584	0.32083368504145393	0.2065881767406399	-4.756945405274098	1.0744461654239796
8	-84373.73490356035	-84393.54329187499	-84373.73490356035	-19.80838831462562	-84373.73490356035	10.578674724339733	1.8526756623152332	2.991232042088584	0.2410839490959017	0.22378321793256473	0.32222922223414663	0.21290361073738684	-15.761947072853488	0.11825345010311032
9	-84020.15478394864	-84036.60612639187	-84020.15478394864	-16.45134244322687	-84020.15478394864	4.774116379814358	2.933783858978902	2.5620359370252093	0.24993178696102883	0.20723620635916462	0.3299283959424196	0.21290361073738684	-12.147099034814573	0.2966871135152929
10	-83733.68284880352	-83748.05529980896	-83733.68284880352	-14.37245100543689	-83733.68284880352	3.532107347058695	2.3128197708020726	2.5620359370252093	0.25819010189224173	0.20745154594938012	0.3233855837750514	0.21097276838332665	-10.29954606200942	0.2976697089153952
11	-83490.71723895335	-83506.65531360604	-83490.71723895335	-15.938074652683213	-83490.71723895335	2.9896960328642983	1.8136822733028635	8.029611373079582	0.2689576055158214	0.20387342463559865	0.3141315604509485	0.21303740939763136	-10.547601388784631	0.35629806576426265
12	-83380.51149646417	-83395.29343179012	-83380.51149646417	-14.781935325957184	-83380.51149646417	2.3236550761736914	1.4360061519754512	8.029611373079582	0.264387759970687	0.19967181639611148	0.32290301423557005	0.21303740939763136	-9.547041531193837	0.6014247317672937
13	-83212.03209891006	-83227.6951615281	-83212.03209891006	-15.663062618043547	-83212.03209891006	2.371492603387962	0.5549644846903726	7.807331481932569	0.267719726493617	0.21583714120275743	0.3129326535884292	0.2035104787151962	-10.748652329097174	0.6592280115435727
14	-83097.58366140677	-83110.51113015342	-83097.58366140677	-12.92746874665267	-83097.58366140677	1.7856510421324239	0.6256696747195897	6.5416624390210485	0.2865848841446457	0.21717548071735543	0.29806949228177176	0.19817014285622706	-8.296771298436692	0.8703532571746905
15	-83065.94406495591	-83078.7712456843	-83065.94406495591	-12.827180728387406	-83065.94406495591	2.051699798466565	0.6143689514913426	6.355283527324706	0.2846988450520541	0.22492366606861475	0.288146184184592	0.2022313046947391	-8.242351637222342	0.4336552306464992
16	-82826.86296309724	-82845.4057157789	-82826.86296309724	-18.54275268166723	-82826.86296309724	3.1309895546473667	1.0346752309762688	12.286027574895893	0.2846988450520541	0.23732669755858632	0.269506906845611	0.2084675505437485	-12.689335445770592	0.7190556523383433
17	-82821.61183737917	-82839.70982398179	-82821.61183737917	-18.097986602616682	-82821.61183737917	3.866248700617272	1.778678143986773	14.099509145372458	0.27214831866940675	0.25810332784867324	0.2506055991261982	0.21914275435572184	-11.667119911165889	0.43150432445406506
18	-82694.54431326943	-82716.5825428902	-82694.54431326943	-22.038229620773237	-82694.54431326943	3.093174158165282	2.1701849408610188	15.09883598334025	0.26809383321701835	0.2336787390310085	0.2771057147691995	0.22112171298277364	-15.307635997442118	1.0436130712996392
19	-82678.16561869514	-82695.82065242792	-82678.16561869514	-17.655033732783576	-82678.16561869514	3.7731252549347993	0.7563944956648604	14.70817114266282	0.2624929197961984	0.234467499456611	0.28191786776441696	0.22112171298277364	-11.525806392389898	0.24480053147953143
20	-82671.61802427289	-82688.37041016953	-82671.61802427289	-16.752385896647354	-82671.61802427289	3.102474154292133	1.0851512802642511	14.70817114266282	0.2564400555704022	0.24669871456023032	0.28117495344083293	0.21568627642853447	-10.516036846000329	0.4045367794793138
21	-82616.91116204586	-82633.7177623322	-82616.91116204586	-16.806600286341915	-82616.91116204586	3.0173540772633474	1.0343012187567326	13.094811506307243	0.24644523884963987	0.2503328438232866	0.2755397228341602	0.22768219449291333	-10.826718381512311	0.38685013448290106
22	-82596.11639595049	-82613.63014424933	-82596.11639595049	-17.513748298831175	-82596.11639595049	3.1086092643466046	0.8316954897634942	13.999775835111077	0.23213404326365386	0.27049827001186766	0.2731130580271396	0.22425462869733892	-11.466352788075884	0.18373778219787898
23	-82545.22555543337	-82564.48653911143	-82545.22555543337	-19.26098367805659	-82545.22555543337	3.2602852828044453	1.3141381867362647	13.999775835111077	0.2188918755371443	0.27049827001186766	0.2684378070319579	0.2421720474190302	-13.035886012828321	0.6210784641449532
24	-82532.95646917504	-82550.7866052014	-82532.95646917504	-17.830136026357543	-82532.95646917504	3.3991265465307663	0.7302648507139082	10.786557920287938	0.22853209314478767	0.26475261096445885	0.26128887205464424	0.2454264238361093	-12.321307601188837	0.41090979457544746
25	-82454.44324390075	-82469.6647687378	-82454.44324390075	-15.221524837053337	-82454.44324390075	2.560118624554278	0.7569835169430632	9.194863642197665	0.22979900591450664	0.2569913516363875	0.26128887205464424	0.2519207703944617	-9.998909423865408	0.3109083563465684
26	-82447.14346120191	-82468.30826533685	-82447.14346120191	-21.164804134941186	-82447.14346120191	2.239560885813344	1.1915591872602647	9.194863642197665	0.2345061459216637	0.2574357876979376	0.2643234035139221	0.2437346628664766	-15.793840299661765	1.48173160087456
27	-82441.83000432017	-82456.24232683665	-82441.83000432017	-14.412322516475989	-82441.83000432017	2.176045192088237	1.4187134431170179	8.733507629990568	0.23702518923446367	0.26690341022773323	0.25801612388235823	0.23805527665544482	-9.040007716670813	0.4663174178179798
28	-82439.10014374324	-82456.0782873454	-82439.10014374324	-16.978143602160653	-82439.10014374324	3.360063011356278	1.1688554932149993	11.833615345802581	0.236975975548214	0.26000423373240317	0.2541011173287606	0.24891867339062215	-11.146699524271723	0.20432150399612745
29	-82405.4923722407	-82421.9059063644	-82405.4923722407	-16.413534123692052	-82405.4923722407	2.909691009157354	1.2380723752738374	10.229909973400781	0.23769085245830063	0.2545016968056988	0.2603988157182674	0.24740863501773314	-10.830512410851906	0.2151559634132774
30	-82402.08662607275	-82417.28435321424	-82402.08662607275	-15.197727141488958	-82402.08662607275	2.505359705727371	1.2038653161299637	9.507412537318727	0.23152852233260984	0.24342077947746335	0.2678175303909237	0.257233167799003	-9.762023206937073	0.3954133361718399
