Sample	posterior	ESS(posterior)	likelihood	prior
0	-3782.793841661237	N	-3772.383454625255	-10.410387035981923
1000	-3192.474588750343	2.0	-3189.5583413521217	-2.916247398221608
2000	-3192.1027915133704	3.0	-3189.281243520501	-2.8215479928693914
3000	-3196.319373806644	4.0	-3192.9990431134006	-3.320330693243047
4000	-3194.64546855041	5.0	-3191.852382504583	-2.7930860458268785
5000	-3195.7714330804274	6.0	-3192.430883746659	-3.3405493337681107
6000	-3195.7737536150826	7.0	-3193.2943940898062	-2.4793595252764824
7000	-3202.306322002346	8.0	-3196.3562089172738	-5.950113085072171
8000	-3196.738856393754	9.0	-3192.22989370272	-4.5089626910339815
9000	-3192.6603679936297	9.0	-3190.1323793977904	-2.5279885958392567
10000	-3198.565368531988	10.0	-3194.1470202310456	-4.418348300942238
11000	-3192.4447566518343	11.0	-3189.72226324362	-2.7224934082142687
12000	-3195.493685874336	12.0	-3192.795653534164	-2.698032340171671
13000	-3193.4384514659682	13.0	-3190.3141508487674	-3.124300617200592
14000	-3193.569394008537	13.0	-3190.435355340566	-3.1340386679713994
15000	-3198.162215419158	15.0	-3195.6215840612117	-2.540631357946497
16000	-3192.8830699231466	16.0	-3190.4050990696232	-2.477970853523435
17000	-3192.198356547051	17.0	-3189.649955689366	-2.5484008576847996
18000	-3195.417293323504	18.0	-3192.0824823549524	-3.3348109685518885
19000	-3193.7670957228856	18.0	-3191.499206274474	-2.267889448411464
20000	-3191.1756339334734	19.0	-3188.746180093078	-2.4294538403954817
21000	-3193.0284776045996	13.0	-3189.5721530894866	-3.4563245151130624
22000	-3193.0152146842806	12.2	-3190.9027734632405	-2.112441221040397
23000	-3196.983995163969	15.9	-3193.799017308616	-3.184977855353373
24000	-3193.8543168580495	15.7	-3191.7264964077	-2.1278204503497165
25000	-3193.4098777025256	15.9	-3190.846823076085	-2.563054626440505
26000	-3191.3412334126006	16.0	-3188.831969155092	-2.509264257508839
27000	-3191.426679948541	10.9	-3188.6471327226827	-2.7795472258580176
28000	-3193.4494543121737	10.6	-3189.704063755243	-3.7453905569302948
29000	-3194.2958132991193	8.4	-3191.5431057090136	-2.752707590105561
30000	-3196.8215763542926	9.6	-3194.200207308828	-2.6213690454649052
31000	-3192.198131201689	9.8	-3189.4161490446386	-2.78198215705061
32000	-3191.399957242052	9.5	-3189.0107635778418	-2.389193664210402
33000	-3192.425986884273	9.3	-3190.2915347691437	-2.1344521151292306
34000	-3196.5556084606765	10.7	-3194.107705330457	-2.447903130219535
35000	-3192.9588064500226	10.8	-3188.821715874311	-4.137090575711477
36000	-3199.0852113060587	12.7	-3193.29641969927	-5.788791606788781
37000	-3191.9487208558044	13.6	-3188.959939185109	-2.9887816706953725
38000	-3193.5303916814482	14.1	-3189.189853028272	-4.34053865317625
39000	-3193.6637694481506	30.2	-3190.4180281963	-3.245741251850534
40000	-3192.1255515458147	30.4	-3189.114634947752	-3.010916598062654
41000	-3193.467322773501	30.7	-3189.5302056335486	-3.9371171399526523
42000	-3194.611504828528	31.8	-3191.2125843989816	-3.3989204295460693
43000	-3198.211680077173	33.4	-3194.97640252703	-3.235277550142499
44000	-3192.9471633044227	35.8	-3190.2681043022667	-2.679059002156113
45000	-3192.2380472037444	38.2	-3188.849355689916	-3.388691513828412
46000	-3193.6464060544436	38.5	-3190.5671014954514	-3.079304558991941
47000	-3193.776366605067	39.1	-3190.5765009973347	-3.199865607732037
48000	-3193.3889604976807	39.7	-3190.703931538882	-2.6850289587987675
49000	-3192.8710009112724	39.6	-3189.8251747563304	-3.0458261549421235
50000	-3193.8004180888693	40.3	-3191.144598637594	-2.655819451275601
51000	-3196.98355783621	42.7	-3193.9055801826225	-3.077977653587567
52000	-3192.269241599889	45.2	-3190.015331526415	-2.2539100734737647
53000	-3193.9802865832926	46.2	-3191.3408599565787	-2.639426626713746
54000	-3195.869046087553	48.4	-3193.245892730432	-2.623153357121093
55000	-3193.5489923565906	49.7	-3191.2990230504192	-2.249969306171573
56000	-3192.213044250211	51.6	-3189.9785732915575	-2.23447095865354
57000	-3194.791404597087	53.0	-3191.7884162220084	-3.002988375078725
58000	-3192.7858989678753	53.4	-3189.9664041399014	-2.819494827973726
59000	-3194.225618606293	54.0	-3191.4855772465194	-2.7400413597737763
60000	-3193.320329968702	55.0	-3191.013447566593	-2.3068824021087297
61000	-3191.3577128846264	56.0	-3189.1040502072988	-2.2536626773276027
62000	-3191.380232157862	57.0	-3188.929120025668	-2.451112132193957
63000	-3193.414146856525	58.0	-3190.81939351781	-2.594753338714717
64000	-3193.294988736244	58.2	-3190.428586092324	-2.866402643919451
65000	-3195.7472496342343	60.0	-3192.919563014437	-2.8276866197974533
66000	-3194.454284722459	60.8	-3191.9872568410883	-2.4670278813706963
67000	-3191.856037124198	62.0	-3189.420834466251	-2.4352026579466046
68000	-3195.0438190202585	63.0	-3191.619103931661	-3.4247150885977833
69000	-3191.68076010355	63.0	-3189.192750175264	-2.488009928285834
70000	-3198.4828018058665	64.0	-3194.430729230851	-4.05207257501585
71000	-3193.0020198998004	65.0	-3188.8854615438577	-4.116558355942933
72000	-3195.363582322509	66.0	-3192.8629064750808	-2.500675847428129
73000	-3193.3559070874176	67.0	-3190.9689378461403	-2.3869692412771517
74000	-3193.6894401683876	68.0	-3189.6091479016013	-4.080292266786252
75000	-3193.6232325133683	69.0	-3190.551670509775	-3.071562003593489
76000	-3191.352727999591	70.0	-3188.7621406157455	-2.590587383845737
77000	-3191.4673718488075	71.0	-3189.03505938724	-2.4323124615676592
78000	-3192.8866667058624	72.0	-3190.096504560292	-2.790162145570364
