Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-3202.2922603641005	-3197.1988402010957	-5.09342016300491	-3197.1988402010957	0.8130310953679445	0.8727683642801187	1.2184332816329473	0.2583288807386629	0.22768252474429937	0.28303022778008946	0.2309583667369484	-2.1287064731606997	2.385947307187296	
1	-3202.3845311874043	-3196.9758798119747	-5.408651375429419	-3196.9758798119747	0.8256522609570135	1.3159313852590644	1.4381634433471844	0.25641104466533243	0.22208359351351933	0.2837677856453959	0.23773757617575247	-2.1884677317725574	1.4641006555700067	
2	-3196.7252854184294	-3190.9553052487413	-5.769980169688163	-3190.9553052487413	0.9546769293610988	1.1955642053212332	0.9488888019743005	0.23643988068541974	0.2383365259478815	0.2708131584043703	0.25441043496232857	-2.7893101537458684	1.1829641237572792	
3	-3196.7252854184294	-3190.9553052487413	-5.769980169688163	-3190.9553052487413	0.9546769293610988	1.1955642053212332	0.9488888019743005	0.23643988068541974	0.2383365259478815	0.2708131584043703	0.25441043496232857	-2.7893101537458684	1.1829641237572792	
4	-3196.5838964656423	-3190.050208892587	-6.533687573055353	-3190.050208892587	1.0931230618415217	1.2199616055472946	1.1328750329448691	0.25834016662220355	0.2463920760577734	0.2535776125840405	0.24169014473598266	-3.4754052597780145	0.9480165941583706	
5	-3196.5838964656423	-3190.050208892587	-6.533687573055353	-3190.050208892587	1.0931230618415217	1.2199616055472946	1.1328750329448691	0.25834016662220355	0.2463920760577734	0.2535776125840405	0.24169014473598266	-3.4754052597780145	0.9480165941583706	
6	-3193.8804005287516	-3188.243971419767	-5.6364291089844585	-3188.243971419767	0.9252823135626174	1.221058766243116	1.1328750329448691	0.25863572600247436	0.25215047135576113	0.2468191299852666	0.242394672656498	-2.5777085354905127	2.1046377672410967	
7	-3193.8804005287516	-3188.243971419767	-5.6364291089844585	-3188.243971419767	0.9252823135626174	1.221058766243116	1.1328750329448691	0.25863572600247436	0.25215047135576113	0.2468191299852666	0.242394672656498	-2.5777085354905127	2.1046377672410967	
8	-3194.5547094265075	-3188.039691686004	-6.515017740503338	-3188.039691686004	0.9632565118032574	1.216986636065656	1.1328750329448691	0.2576426673838272	0.25177309000611925	0.2468191299852666	0.24376511262478703	-3.457923153417198	0.8384198647017393	
9	-3192.992898670028	-3187.48788285558	-5.505015814447674	-3187.48788285558	0.8962442625041451	1.2504734474690622	1.247134424647346	0.24847828167732908	0.2521397928249742	0.25599732564136274	0.24338459985633407	-2.3892826000688636	1.7911294203952417	
